title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
Anti-Money Laundering Law of the People's Republic of China (2024 Revision),2024-11-08,national,China,False,general,[],"['Security & Management', 'Incident Response & Notification', 'Outsourced Processing']","['Financial Intermediation', 'Real Estate', 'Leasing & Business Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']","Regulates AML duties, data protection, and information security.",False,privacy/1_laws/中华人民共和国反洗钱法(2024修订)(FBM-CLI.1.5234298).txt,privacy
Tort Liability Law of the People's Republic of China,2009-12-26,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国侵权责任法(FBM-CLI.1.125300).txt,privacy
Report on the Filing Review Work of the 13th National People's Congress Standing Committee and the 2022 Filing Review Work,2022-12-28,national,National People's Republic of China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会法制工作委员会关...(FBM-CLI.1.5146833).txt,privacy
Notarization Law of the People's Republic of China (2017 Amendment),2005-08-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国公证法(2017修正)(FBM-CLI.1.301394).txt,privacy
Lawyer Law of the People's Republic of China (2017 Amendment),1996-05-15,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国律师法(2017修正)(FBM-CLI.1.301393).txt,privacy
Report on the Handling Opinions of Proposals Submitted by Deputies to the Fourth Session of the Eleventh National People's Congress,2011-03-13,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/十一届全国人大四次会议秘书处关于第十一届全...(FBM-CLI.1.154506).txt,privacy
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Second Session of the 12th National People's Congress,2014-12-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.245733).txt,privacy
Lawyer Law of the People's Republic of China (2001 Amendment),1996-05-15,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国律师法(2001修正)(FBM-CLI.1.38085).txt,privacy
Administrative Licensing Law of the People's Republic of China,2003-08-27,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国行政许可法(FBM-CLI.1.49280).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Banking Supervision Law of the People's Republic of China (2006),2006-10-31,national,China,False,general,[],['Security & Management'],['Financial Intermediation'],[],"['Information Collection', 'Information Processing']",Enhances banking supervision including privacy protection measures,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.80996).txt,privacy
Report of the Financial and Economic Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Third Session of the 12th National People's Congress,2015-10-30,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会财政经济委员会关于第十二届...(FBM-CLI.1.259491).txt,privacy
Criminal Procedure Law of the People's Republic of China (2018 Amendment),2018-10-26,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国刑事诉讼法(2018修正)(FBM-CLI.1.324538).txt,privacy
Report on the Handling of Proposals Submitted by Deputies to the First Session of the 11th National People's Congress,2008-03-14,national,National,True,general,[],[],[],[],[],,False,privacy/1_laws/十一届全国人大一次会议秘书处关于第十一届全...(FBM-CLI.1.113374).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Administrative Procedure Law of the People's Republic of China (2014),2014-11-01,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.237553).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Accounting Law of the People's Republic of China (2024),2024-06-28,national,China,False,general,[],[],[],[],[],Amends accounting law including privacy and data protection provisions,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5195913).txt,privacy
Labor Dispute Mediation and Arbitration Law of the People's Republic of China,2007-12-29,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国劳动争议调解仲裁法(FBM-CLI.1.100677).txt,privacy
Archives Law of the People's Republic of China (2020 Revision),2020-06-20,national,China,True,general,[],[],[],[],[],"Regulates archives management, limited privacy protection",False,privacy/1_laws/中华人民共和国档案法(2020修订)(FBM-CLI.1.343346).txt,privacy
The 13th Five-Year Plan for National Economic and Social Development of the People's Republic of China,2016-03-16,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国国民经济和社会发展第十三个五...(FBM-CLI.1.266682).txt,privacy
Draft Basic Law of the Macao Special Administrative Region of the People's Republic of China,1992-03-14,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/关于提请全国人大常委会审议《中华人民共和国...(FBM-CLI.1.317868).txt,privacy
Law of the People's Republic of China on the Prevention of Juvenile Delinquency (2020 Revision),2020-12-26,national,China,True,sensitive,[],[],[],['Parental Consent for Minors'],[],Protects minors' privacy and personal information rights,False,privacy/1_laws/中华人民共和国预防未成年人犯罪法(2020修订)(FBM-CLI.1.349385).txt,privacy
Energy Law of the People's Republic of China,2024-11-08,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国能源法(FBM-CLI.1.5234296).txt,privacy
Insurance Law of the People's Republic of China (2002 Amendment),1995-06-30,national,China,True,general,[],[],['Financial Intermediation'],[],[],,False,privacy/1_laws/中华人民共和国保险法(2002修正)(FBM-CLI.1.42881).txt,privacy
Notarization Law of the People's Republic of China (2015 Amendment),2006-03-01,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国公证法(2015修正)(FBM-CLI.1.252618).txt,privacy
Administrative Penalty Law of the People's Republic of China (2017 Amendment),1996-03-17,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国行政处罚法(2017修正)(FBM-CLI.1.301397).txt,privacy
Lawyer Law of the People's Republic of China (2007 Revision),2007-10-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国律师法(2007修订)(FBM-CLI.1.98767).txt,privacy
Charity Law of the People's Republic of China (2023 Amendment),2016-03-16,national,China,False,general,"['Access & Copy', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Health & Social Work', 'Education']",[],"['Information Processing', 'Information Dissemination']",Regulates charity activities and protects personal privacy rights,False,privacy/1_laws/中华人民共和国慈善法(2023修正)(FBM-CLI.1.5188202).txt,privacy
Report of the Financial and Economic Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fifth Session of the 13th National People's Congress,2022-10-27,national,National,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.5137889).txt,privacy
Report on the Review Results of Proposals Submitted by Deputies to the 5th Session of the 11th National People's Congress Presidium by the Financial and Economic Committee of the National People's Congress,2012-10-26,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.187201).txt,privacy
Law of the People's Republic of China on the Protection of Minors,1991-09-04,national,China,False,sensitive,[],[],[],['Parental Consent for Minors'],[],Protects minors' rights including privacy and data protection,False,privacy/1_laws/中华人民共和国未成年人保护法(FBM-CLI.1.5369).txt,privacy
Cybersecurity Law of the People's Republic of China,2016-11-07,national,China,False,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification', 'Outsourced Processing', 'Local Representative', 'Impact Assessment']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Public Administration, Social Security & Social Organizations', 'Health & Social Work', 'Education']","['Cross-Border Transfer', 'Parental Consent for Minors', 'De-Identification']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Establishes cybersecurity framework protecting personal data and privacy,False,privacy/1_laws/中华人民共和国网络安全法(FBM-CLI.1.283838).txt,privacy
Law of the People's Republic of China on the Prevention and Treatment of Infectious Diseases (2013 Amendment),2004-12-01,national,China,False,sensitive,"['Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Collection', 'Information Processing']",Regulates infectious disease data protection and privacy,False,privacy/1_laws/中华人民共和国传染病防治法(2013修正)(FBM-CLI.1.206064).txt,privacy
Administrative Penalty Law of the People's Republic of China (2009 Amendment),1996-03-17,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国行政处罚法(2009修正)(FBM-CLI.1.167113).txt,privacy
Advertising Law of the People's Republic of China (2015 Revision),2015-04-24,national,China,True,general,[],[],[],[],[],"Regulates advertising to protect consumer rights, including privacy",False,privacy/1_laws/中华人民共和国广告法(2015修订)(FBM-CLI.1.247404).txt,privacy
Administrative Reconsideration Law of the People's Republic of China (2023 Revision),2023-09-01,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国行政复议法(2023修订)(FBM-CLI.1.5175408).txt,privacy
Report on the Review Results of Proposals Submitted by Deputies to the Fourth Session of the 11th National People's Congress Presidium by the Financial and Economic Committee of the National People's Congress,2011-10-29,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.169703).txt,privacy
Marine Environment Protection Law of the People's Republic of China (2023 Revision),2023-10-24,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国海洋环境保护法(2023修订)(FBM-CLI.1.5180856).txt,privacy
Mental Health Law of the People's Republic of China,2012-10-26,national,China,False,sensitive,"['Access & Copy', 'Know & Decide', 'Explanation', 'Convenient Exercise & Remedy', 'Next of Kin']","['Security & Management', 'Incident Response & Notification']","['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects mental health patients' privacy and data rights,False,privacy/1_laws/中华人民共和国精神卫生法(FBM-CLI.1.187194).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Supervision Law of the People's Republic of China (2024),2024-12-25,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5288020).txt,privacy
Law of the People's Republic of China on the Prevention and Treatment of Infectious Diseases (2004 Revision),2004-08-28,national,China,False,sensitive,"['Know & Decide', 'Access & Copy', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates infectious disease data collection and privacy protection,False,privacy/1_laws/中华人民共和国传染病防治法(2004修订)(FBM-CLI.1.54998).txt,privacy
Asset Appraisal Law of the People's Republic of China,2016-07-02,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国资产评估法(FBM-CLI.1.274159).txt,privacy
Law of the People's Republic of China on the Protection of Minors (2012 Amendment),2012-10-26,national,China,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']",[],"['Education', 'Health & Social Work', 'Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']","Protects minors' rights and privacy, mandates parental consent",False,privacy/1_laws/中华人民共和国未成年人保护法(2012修正)(FBM-CLI.1.188544).txt,privacy
Anti-Telecommunication Network Fraud Law of the People's Republic of China,2022-09-02,national,China,False,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation']",['Cross-Border Transfer'],"['Information Collection', 'Information Processing', 'Information Dissemination']","Law combats telecom fraud, protects personal data",True,privacy/1_laws/中华人民共和国反电信网络诈骗法(FBM-CLI.1.5133979).txt,privacy
Civil Procedure Law of the People's Republic of China (2012 Amendment),2012-08-31,national,People's Republic of China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国民事诉讼法(2012修正)(FBM-CLI.1.183386).txt,privacy
Decision of the National People's Congress on Amending the Criminal Procedure Law of the People's Republic of China (2012),2012-03-14,national,China,False,general,"['Access & Copy', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Enhances procedural rights and privacy protections in criminal proceedings.,False,privacy/1_laws/全国人民代表大会关于修改《中华人民共和国刑...(FBM-CLI.1.169409).txt,privacy
Administrative Penalty Law of the People's Republic of China,1996-03-17,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国行政处罚法(FBM-CLI.1.13910).txt,privacy
Work Norms for Major Interest Adjustment Demonstration and Consultation in Legislation,2017-12-18,national,National,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会办公厅印发《关于...(FBM-CLI.1.308311).txt,privacy
Statistics Law of the People's Republic of China (2024 Amendment),2024-09-13,national,China,False,general,[],"['Security & Management', 'Incident Response & Notification']",[],[],"['Information Collection', 'Information Processing']",Regulates statistical data collection and protects personal data confidentiality.,False,privacy/1_laws/中华人民共和国统计法(2024修正)(FBM-CLI.1.5231645).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Anti-Monopoly Law of the People's Republic of China (2022),2022-06-24,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5128063).txt,privacy
Advertising Law of the People's Republic of China (2021 Amendment),1994-10-27,national,China,True,general,[],[],"['Wholesale & Retail Trade', 'Information Transmission, Software & IT Services', 'Health & Social Work', 'Education', 'Culture, Sports & Entertainment', 'Public Administration, Social Security & Social Organizations']",[],[],Regulates advertising to protect consumer rights and privacy,False,privacy/1_laws/中华人民共和国广告法(2021修正)(FBM-CLI.1.5012735).txt,privacy
Report on the Handling Opinions of Proposals Submitted by Deputies to the Third Session of the 12th National People's Congress,2015-03-14,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/十二届全国人大三次会议秘书处关于第十二届全...(FBM-CLI.1.248816).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Charity Law of the People's Republic of China (2023),2023-12-29,national,China,False,general,[],[],[],[],[],Regulates charity activities including data disclosure and privacy protections,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5185734).txt,privacy
Organic Law of the People's Courts of the People's Republic of China (2006 Amendment),1979-07-01,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国人民法院组织法(2006修正)(FBM-CLI.1.81825).txt,privacy
Mental Health Law of the People's Republic of China (2018 Amendment),2012-10-26,national,China,False,sensitive,"['Access & Copy', 'Know & Decide', 'Convenient Exercise & Remedy']",[],"['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects mental health patient privacy and rights,False,privacy/1_laws/中华人民共和国精神卫生法(2018修正)(FBM-CLI.1.313973).txt,privacy
Judges Law of the People's Republic of China (2019 Revision),2019-04-23,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国法官法(2019修订)(FBM-CLI.1.331472).txt,privacy
Anti-Monopoly Law of the People's Republic of China (2022 Amendment),2007-08-30,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国反垄断法(2022修正)(FBM-CLI.1.5128034).txt,privacy
Law of the People's Republic of China on the Protection of Minors (2024 Amendment),2024-04-26,national,China,False,sensitive,"['Know & Decide', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']",[],"['Education', 'Health & Social Work', 'Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' privacy and personal information rights,False,privacy/1_laws/中华人民共和国未成年人保护法(2024修正)(FBM-CLI.1.5196183).txt,privacy
Report of the Legislative Affairs Commission of the Standing Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Second Session of the 11th National People's Congress,2009-12-26,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.134035).txt,privacy
Export Control Law of the People's Republic of China,2020-10-17,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国出口管制法(FBM-CLI.1.346977).txt,privacy
Law on the Protection of Women's Rights and Interests of the People's Republic of China (2022 Revision),2022-10-30,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国妇女权益保障法(2022修订)(FBM-CLI.1.5137689).txt,privacy
Civil Procedure Law of the People's Republic of China (2017 Amendment),1991-04-09,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国民事诉讼法(2017修正)(FBM-CLI.1.297379).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending Eight Laws Including the Trademark Law of the People's Republic of China,2019-04-23,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.331473).txt,privacy
Criminal Procedure Law of the People's Republic of China (2012 Amendment),2012-03-14,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国刑事诉讼法(2012修正)(FBM-CLI.1.169667).txt,privacy
Advertising Law of the People's Republic of China (2018 Amendment),2018-10-26,national,China,True,general,[],[],"['Wholesale & Retail Trade', 'Information Transmission, Software & IT Services', 'Health & Social Work', 'Education', 'Culture, Sports & Entertainment', 'Public Administration, Social Security & Social Organizations']",[],[],"Regulates advertising to protect consumer rights, including privacy",False,privacy/1_laws/中华人民共和国广告法(2018修正)(FBM-CLI.1.325018).txt,privacy
Law of the People's Mediation of the People's Republic of China,2010-08-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国人民调解法(FBM-CLI.1.137087).txt,privacy
Public Library Law of the People's Republic of China (2018 Amendment),2017-11-04,national,China,True,general,[],[],"['Culture, Sports & Entertainment', 'Education']",[],[],Promotes public library services and protects reader privacy,False,privacy/1_laws/中华人民共和国公共图书馆法(2018修正)(FBM-CLI.1.324964).txt,privacy
Civil Procedure Law of the People's Republic of China (2023 Amendment),2023-09-01,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国民事诉讼法(2023修正)(FBM-CLI.1.5175519).txt,privacy
Customs Law of the People's Republic of China,2024-04-26,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国关税法(FBM-CLI.1.5192274).txt,privacy
Law of the People's Republic of China on Banking Regulation and Supervision (2006 Amendment),2003-12-27,national,China,True,general,[],[],['Financial Intermediation'],[],[],,False,privacy/1_laws/中华人民共和国银行业监督管理法(2006修正)(FBM-CLI.1.80997).txt,privacy
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fourth Session of the 11th National People's Congress Presidium,2011-12-31,national,National,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.165173).txt,privacy
Civil Procedure Law of the People's Republic of China (2007 Amendment),2007-10-28,national,People's Republic of China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国民事诉讼法(2007修正)(FBM-CLI.1.98761).txt,privacy
Law of the People's Republic of China on Disciplinary Actions Against Public Officials,2020-06-20,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国公职人员政务处分法(FBM-CLI.1.343345).txt,privacy
Public Security Administration Punishment Law of the People's Republic of China,2005-08-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国治安管理处罚法(FBM-CLI.1.59774).txt,privacy
Counter-Espionage Law of the People's Republic of China (2023 Revision),2023-04-26,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国反间谍法(2023修订)(FBM-CLI.1.5165562).txt,privacy
Law of the People's Republic of China on Legal Aid,2021-08-20,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国法律援助法(FBM-CLI.1.5055324).txt,privacy
Family Education Promotion Law of the People's Republic of China,2021-10-23,national,China,True,general,[],[],"['Education', 'Public Administration, Social Security & Social Organizations']",[],[],Promotes family education and protects minors' privacy,False,privacy/1_laws/中华人民共和国家庭教育促进法(FBM-CLI.1.5077898).txt,privacy
Law of the People's Republic of China on the Protection of Minors (2020 Revision),2020-10-17,national,China,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy', 'Next of Kin', 'Explanation']",[],"['Education', 'Health & Social Work', 'Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' privacy and personal information rights,False,privacy/1_laws/中华人民共和国未成年人保护法(2020修订)(FBM-CLI.1.346976).txt,privacy
"Explanations by the Legislative Affairs Commission of the Standing Committee of the National People's Congress on How to Understand Article 40 of the Constitution, Article 65 of the Civil Procedure Law, and Article 66 of the Telecommunications Regulations",2004-04-09,national,China,True,sensitive,[],[],[],[],['Information Collection'],Clarifies constitutional protection of communication privacy,False,privacy/1_laws/全国人民代表大会常务委员会法制工作委员会关...(FBM-CLI.1.263243).txt,privacy
Anti-Money Laundering Law of the People's Republic of China,2006-10-31,national,China,False,general,[],"['Security & Management', 'Incident Response & Notification']",['Financial Intermediation'],[],"['Information Collection', 'Information Processing']",Regulates data handling to prevent money laundering,False,privacy/1_laws/中华人民共和国反洗钱法(FBM-CLI.1.80994).txt,privacy
Administrative Penalty Law of the People's Republic of China (2021 Revision),2021-01-22,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国行政处罚法(2021修订)(FBM-CLI.1.351831).txt,privacy
Charity Law of the People's Republic of China,2016-03-16,national,China,False,general,"['Access & Copy', 'Convenient Exercise & Remedy']",[],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates charity activities and protects personal privacy,False,privacy/1_laws/中华人民共和国慈善法(FBM-CLI.1.266755).txt,privacy
Preschool Education Law of the People's Republic of China,2024-11-08,national,China,True,general,[],[],['Education'],[],[],Promotes preschool education without specific privacy measures,False,privacy/1_laws/中华人民共和国学前教育法(FBM-CLI.1.5234295).txt,privacy
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies to the Third Session of the 12th National People's Congress Presidium,2015-11-27,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.261803).txt,privacy
Public Security Administration Punishment Law of the People's Republic of China (2012 Amendment),2005-08-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国治安管理处罚法(2012修正)(FBM-CLI.1.188539).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Civil Procedure Law of the People's Republic of China (2012),2012-08-31,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.183384).txt,privacy
Report of the NPC Internal and Judicial Affairs Committee on the Review Results of Proposals Submitted by Deputies at the 5th Session of the 11th National People's Congress,2012-10-26,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会内务司法委员会关于第十一届...(FBM-CLI.1.187200).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Insurance Law of the People's Republic of China (2002),2002-10-28,national,China,False,general,[],['Security & Management'],['Financial Intermediation'],[],[],Amends insurance law including privacy protection obligations,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.42880).txt,privacy
Community Correction Law of the People's Republic of China,2019-12-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国社区矫正法(FBM-CLI.1.338308).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Law on the Protection of Women's Rights and Interests of the People's Republic of China (2005),2005-08-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.59777).txt,privacy
Reserve Personnel Law of the People's Republic of China,2022-12-30,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国预备役人员法(FBM-CLI.1.5146842).txt,privacy
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies to the 5th Session of the 11th National People's Congress Presidium,2012-12-28,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.199433).txt,privacy
Civil Procedure Law of the People's Republic of China (Trial),1982-03-08,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国民事诉讼法(试行)(FBM-CLI.1.1216).txt,privacy
