title,date_enacted,legal_status,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,folder
Law of the People's Republic of China on Lawyers (2017 Revision),01.09.2017,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates lawyer conduct and client privacy.,FALSE,1_laws/中华人民共和国律师法(2017修正)(FBM-CLI.1.301393).txt,privacy
Report on the Handling of Proposals Submitted by Representatives at the Fourth Session of the Eleventh National People's Congress,13.03.2011,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/十一届全国人大四次会议秘书处关于第十一届全...(FBM-CLI.1.154506).txt,privacy
Report on the Review Results of the Proposals Submitted by Representatives to the Second Session of the Twelfth National People's Congress,28.12.2014,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],Legislation proposals related to personal information protection.,FALSE,1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.245733).txt,privacy
Law of the People's Republic of China on Lawyers (2001 Amendment),29.12.2001,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates lawyer conduct and client privacy.,FALSE,1_laws/中华人民共和国律师法(2001修正)(FBM-CLI.1.38085).txt,privacy
Administrative Licensing Law of the People's Republic of China,27.08.2003,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国行政许可法(FBM-CLI.1.49280).txt,privacy
Decision on Amending the Law on Banking Supervision of the People's Republic of China,31.10.2006,1_laws,national,People's Republic of China,FALSE,general,[],['Security & Management'],['Financial Intermediation'],[],"['Information Collection', 'Information Processing']",Amendments to banking supervision law.,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.80996).txt,privacy
Report of the Finance and Economy Committee of the National People's Congress on the Results of the Consideration of the Motions Proposed by the Delegates Referred for Consideration by the Bureau of the Third Session of the Twelfth National People's Congress,30.10.2015,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十二届...(FBM-CLI.1.259491).txt,privacy
Criminal Procedure Law of the People's Republic of China (2018 Revision),26.10.2018,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects citizens' rights in criminal proceedings.,FALSE,1_laws/中华人民共和国刑事诉讼法(2018修正)(FBM-CLI.1.324538).txt,privacy
Report on the Handling of Proposals Submitted by Representatives at the First Session of the Eleventh National People's Congress,14.03.2008,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/十一届全国人大一次会议秘书处关于第十一届全...(FBM-CLI.1.113374).txt,privacy
Decision on Amending the Administrative Litigation Law of the People's Republic of China,01.11.2014,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.237553).txt,privacy
Decision on Amending the Accounting Law of the People's Republic of China,28.06.2024,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5195913).txt,privacy
Labor Dispute Mediation and Arbitration Law of the People's Republic of China,29.12.2007,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国劳动争议调解仲裁法(FBM-CLI.1.100677).txt,privacy
Archives Law of the People's Republic of China (2020 Revision),20.06.2020,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates archives management and protection.,FALSE,1_laws/中华人民共和国档案法(2020修订)(FBM-CLI.1.343346).txt,privacy
The 13th Five-Year Plan for Economic and Social Development of the People's Republic of China,16.03.2016,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国国民经济和社会发展第十三个五...(FBM-CLI.1.266682).txt,privacy
Draft Basic Law of the Macao Special Administrative Region of the People's Republic of China,14.03.1992,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Establishes rights and governance in Macao.,FALSE,1_laws/关于提请全国人大常委会审议《中华人民共和国...(FBM-CLI.1.317868).txt,privacy
Law of the People's Republic of China on the Prevention of Juvenile Delinquency (2020 Revision),26.12.2020,1_laws,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects minors' rights and prevents delinquency.,FALSE,1_laws/中华人民共和国预防未成年人犯罪法(2020修订)(FBM-CLI.1.349385).txt,privacy
Energy Law of the People's Republic of China,08.11.2024,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国能源法(FBM-CLI.1.5234296).txt,privacy
Insurance Law of the People's Republic of China (Revised in 2002),28.10.2002,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer']",['Financial Intermediation'],[],[],Regulates insurance activities and protects rights.,FALSE,1_laws/中华人民共和国保险法(2002修正)(FBM-CLI.1.42881).txt,privacy
Notarization Law of the People's Republic of China (2015 Revision),24.04.2015,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",[],[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates notarization activities and protects rights.,FALSE,1_laws/中华人民共和国公证法(2015修正)(FBM-CLI.1.252618).txt,privacy
Administrative Penalty Law of the People's Republic of China (2017 Revision),01.09.2017,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy']",['Security & Management'],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates administrative penalties and protects rights.,FALSE,1_laws/中华人民共和国行政处罚法(2017修正)(FBM-CLI.1.301397).txt,privacy
Law of the People's Republic of China on Lawyers (2007 Revision),28.10.2007,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates lawyer conduct and client privacy.,FALSE,1_laws/中华人民共和国律师法(2007修订)(FBM-CLI.1.98767).txt,privacy
Charity Law of the People's Republic of China (2023 Amendment),29.12.2023,1_laws,national,People's Republic of China,FALSE,general,"['Access & Copy', 'Erasure']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing']",Regulates charity activities and protects participants' rights.,FALSE,1_laws/中华人民共和国慈善法(2023修正)(FBM-CLI.1.5188202).txt,privacy
Report of the Finance and Economy Committee of the National People's Congress on the Results of the Consideration of the Motions Proposed by the Delegates Referred for Consideration by the Bureau of the Fifth Session of the Thirteenth National People's Congress,27.10.2022,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.5137889).txt,privacy
Report of the Finance and Economy Committee of the National People's Congress on the Results of the Consideration of the Motions Proposed by the Delegates Referred for Consideration by the Bureau of the Fifth Session of the Eleventh National People's Congress,26.10.2012,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.187201).txt,privacy
Law of the People's Republic of China on the Protection of Minors,04.09.1991,1_laws,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' rights and personal information.,FALSE,1_laws/中华人民共和国未成年人保护法(FBM-CLI.1.5369).txt,privacy
Cybersecurity Law of the People's Republic of China,07.11.2016,1_laws,national,People's Republic of China,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates cybersecurity and personal data protection.,FALSE,1_laws/中华人民共和国网络安全法(FBM-CLI.1.283838).txt,privacy
Infectious Disease Prevention Law of the People's Republic of China (2013 Revision),29.06.2013,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates infectious disease prevention and control.,FALSE,1_laws/中华人民共和国传染病防治法(2013修正)(FBM-CLI.1.206064).txt,privacy
Administrative Punishment Law of the People's Republic of China (2009 Revision),27.08.2009,1_laws,national,People's Republic of China,TRUE,general,"['Know & Decide', 'Access & Copy']",[],[],[],[],Regulates administrative penalties and citizen rights.,FALSE,1_laws/中华人民共和国行政处罚法(2009修正)(FBM-CLI.1.167113).txt,privacy
Advertising Law of the People's Republic of China (2015 Revision),24.04.2015,1_laws,national,People's Republic of China,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],Regulates advertising practices to protect consumers.,FALSE,1_laws/中华人民共和国广告法(2015修订)(FBM-CLI.1.247404).txt,privacy
Administrative Reconsideration Law of the People's Republic of China (2023 Revision),01.09.2023,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国行政复议法(2023修订)(FBM-CLI.1.5175408).txt,privacy
Report on the Review Results of Proposals Submitted by Representatives to the Fourth Session of the Eleventh National People's Congress,29.10.2011,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.169703).txt,privacy
Marine Environmental Protection Law of the People's Republic of China (2023 Revision),24.10.2023,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],Protects marine environment and public health.,FALSE,1_laws/中华人民共和国海洋环境保护法(2023修订)(FBM-CLI.1.5180856).txt,privacy
Mental Health Law of the People's Republic of China,26.10.2012,1_laws,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects mental health patients' rights.,FALSE,1_laws/中华人民共和国精神卫生法(FBM-CLI.1.187194).txt,privacy
Decision on Amending the Supervision Law of the People's Republic of China,25.12.2024,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Amends supervision law to enhance privacy protection.,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5288020).txt,privacy
Infectious Disease Prevention Law of the People's Republic of China (Revised in 2004),01.12.2004,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates infectious disease prevention and control.,FALSE,1_laws/中华人民共和国传染病防治法(2004修订)(FBM-CLI.1.54998).txt,privacy
Asset Appraisal Law of the People's Republic of China,02.07.2016,1_laws,national,People's Republic of China,FALSE,general,[],"['Protection Officer', 'Security & Management']",[],[],[],NA,FALSE,1_laws/中华人民共和国资产评估法(FBM-CLI.1.274159).txt,privacy
Law of the People's Republic of China on the Protection of Minors (2012 Revision),26.10.2012,1_laws,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects minors' rights and personal information.,FALSE,1_laws/中华人民共和国未成年人保护法(2012修正)(FBM-CLI.1.188544).txt,privacy
Anti-Telecom Network Fraud Law of the People's Republic of China,02.09.2022,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Financial Intermediation']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Strengthens measures against telecom fraud.,TRUE,1_laws/中华人民共和国反电信网络诈骗法(FBM-CLI.1.5133979).txt,privacy
Civil Procedure Law of the People's Republic of China (2012 Amendment),31.08.2012,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国民事诉讼法(2012修正)(FBM-CLI.1.183386).txt,privacy
Decision of the National People's Congress on Amending the Criminal Procedure Law of the People's Republic of China,14.03.2012,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Amends criminal procedure to enhance rights.,FALSE,1_laws/全国人民代表大会关于修改《中华人民共和国刑...(FBM-CLI.1.169409).txt,privacy
Administrative Penalty Law of the People's Republic of China,17.03.1996,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国行政处罚法(FBM-CLI.1.13910).txt,privacy
Notice on the Work Norms for Major Interest Adjustment Argumentation Consultation Involved in Legislation,18.12.2017,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会常务委员会办公厅印发《关于...(FBM-CLI.1.308311).txt,privacy
Statistical Law of the People's Republic of China (2024 Revision),13.09.2024,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates statistical data collection and privacy.,FALSE,1_laws/中华人民共和国统计法(2024修正)(FBM-CLI.1.5231645).txt,privacy
Decision on Amending the Anti-Monopoly Law of the People's Republic of China,24.06.2022,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification']",[],[],[],Amendments to enhance anti-monopoly regulations.,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5128063).txt,privacy
Advertising Law of the People's Republic of China (2021 Revision),29.04.2021,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国广告法(2021修正)(FBM-CLI.1.5012735).txt,privacy
Report on the Handling of Proposals Submitted by Representatives at the Third Session of the Twelfth National People's Congress,14.03.2015,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/十二届全国人大三次会议秘书处关于第十二届全...(FBM-CLI.1.248816).txt,privacy
Decision on Amending the Charity Law of the People's Republic of China,29.12.2023,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],Amendments to enhance charity organization regulations.,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5185734).txt,privacy
Organic Law of the People's Courts of the People's Republic of China (Revised in 2006),31.10.2006,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国人民法院组织法(2006修正)(FBM-CLI.1.81825).txt,privacy
Mental Health Law of the People's Republic of China (2018 Revision),26.10.2012,1_laws,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Compliance Audits']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Invasion']",Protects mental health patients' rights.,FALSE,1_laws/中华人民共和国精神卫生法(2018修正)(FBM-CLI.1.313973).txt,privacy
Anti-Monopoly Law of the People's Republic of China (2022 Revision),24.06.2022,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']",[],[],"['Information Collection', 'Information Processing']",Regulates monopolistic practices to protect competition.,FALSE,1_laws/中华人民共和国反垄断法(2022修正)(FBM-CLI.1.5128034).txt,privacy
Law on the Protection of Minors of the People's Republic of China (2024 Revision),26.04.2024,1_laws,national,People's Republic of China,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects minors' rights and personal information.,FALSE,1_laws/中华人民共和国未成年人保护法(2024修正)(FBM-CLI.1.5196183).txt,privacy
Report on the Review Results of the Proposals Submitted by Representatives to the Second Session of the Eleventh National People's Congress,26.12.2009,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],Legislation proposals on privacy protection.,FALSE,1_laws/全国人民代表大会法律委员会关于第十一届全国...(FBM-CLI.1.134035).txt,privacy
Export Control Law of the People's Republic of China,17.10.2020,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国出口管制法(FBM-CLI.1.346977).txt,privacy
Law of the People's Republic of China on the Protection of Women's Rights and Interests (2022 Revision),30.10.2022,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes women's rights and interests protection.,FALSE,1_laws/中华人民共和国妇女权益保障法(2022修订)(FBM-CLI.1.5137689).txt,privacy
Civil Procedure Law of the People's Republic of China (2017 Revision),27.06.2017,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国民事诉讼法(2017修正)(FBM-CLI.1.297379).txt,privacy
Decision on Amending the Construction Law of the People's Republic of China and Other Eight Laws,23.04.2019,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.331473).txt,privacy
Criminal Procedure Law of the People's Republic of China (2012 Amendment),14.03.2012,1_laws,national,People's Republic of China,TRUE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates criminal procedures and protects rights.,FALSE,1_laws/中华人民共和国刑事诉讼法(2012修正)(FBM-CLI.1.169667).txt,privacy
Advertising Law of the People's Republic of China (2018 Revision),26.10.2018,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],Regulates advertising practices and consumer protection.,FALSE,1_laws/中华人民共和国广告法(2018修正)(FBM-CLI.1.325018).txt,privacy
People's Mediation Law of the People's Republic of China,28.08.2010,1_laws,national,People's Republic of China,FALSE,general,[],['Leaking Personal Privacy'],[],[],[],NA,FALSE,1_laws/中华人民共和国人民调解法(FBM-CLI.1.137087).txt,privacy
Public Library Law of the People's Republic of China (2018 Revision),04.11.2017,1_laws,national,People's Republic of China,FALSE,general,"['Erasure', 'Explanation']",['Security & Management'],"['Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects reader's personal information and privacy.,FALSE,1_laws/中华人民共和国公共图书馆法(2018修正)(FBM-CLI.1.324964).txt,privacy
Civil Procedure Law of the People's Republic of China (2023 Revision),01.09.2023,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国民事诉讼法(2023修正)(FBM-CLI.1.5175519).txt,privacy
