column,pair,kappa
resp_outsourced_processing,delta_gamma,0.791
kw_parental_consent_for_minors,alpha_beta,0.841
kw_parental_consent_for_minors,alpha_delta,0.855
kw_parental_consent_for_minors,alpha_gamma,0.871
kw_parental_consent_for_minors,beta_delta,0.865
kw_parental_consent_for_minors,beta_gamma,0.88
kw_parental_consent_for_minors,delta_gamma,0.88
kw_cross_border_transfer,alpha_beta,0.809
kw_cross_border_transfer,alpha_delta,0.831
kw_cross_border_transfer,alpha_gamma,0.848
kw_cross_border_transfer,beta_delta,0.807
kw_cross_border_transfer,beta_gamma,0.852
kw_cross_border_transfer,delta_gamma,0.788
kw_automated_decision_making_transparency,alpha_beta,0.704
kw_automated_decision_making_transparency,alpha_delta,0.704
kw_automated_decision_making_transparency,alpha_gamma,0.706
kw_automated_decision_making_transparency,beta_delta,0.729
kw_automated_decision_making_transparency,beta_gamma,0.774
kw_automated_decision_making_transparency,delta_gamma,0.733
kw_de_identification,alpha_beta,0.676
kw_de_identification,alpha_delta,0.678
kw_de_identification,alpha_gamma,0.647
kw_de_identification,beta_delta,0.691
kw_de_identification,beta_gamma,0.749
kw_de_identification,delta_gamma,0.709
kw_anonymization,alpha_beta,0.637
kw_anonymization,alpha_delta,0.651
kw_anonymization,alpha_gamma,0.585
kw_anonymization,beta_delta,0.535
kw_anonymization,beta_gamma,0.704
kw_anonymization,delta_gamma,0.677
sector_agriculture_forestry_animal_husbandry_and_fishery,alpha_beta,0.873
sector_agriculture_forestry_animal_husbandry_and_fishery,alpha_delta,0.908
sector_agriculture_forestry_animal_husbandry_and_fishery,alpha_gamma,0.9
sector_agriculture_forestry_animal_husbandry_and_fishery,beta_delta,0.862
sector_agriculture_forestry_animal_husbandry_and_fishery,beta_gamma,0.862
sector_agriculture_forestry_animal_husbandry_and_fishery,delta_gamma,0.868
sector_mining,alpha_beta,0.699
sector_mining,alpha_delta,0.842
sector_mining,alpha_gamma,0.823
sector_mining,beta_delta,0.736
sector_mining,beta_gamma,0.705
sector_mining,delta_gamma,0.875
sector_manufacturing,alpha_beta,0.855
sector_manufacturing,alpha_delta,0.859
sector_manufacturing,alpha_gamma,0.864
sector_manufacturing,beta_delta,0.859
sector_manufacturing,beta_gamma,0.849
sector_manufacturing,delta_gamma,0.832
sector_production_and_supply_of_electricity_heat_gas_and_water,alpha_beta,0.783
sector_production_and_supply_of_electricity_heat_gas_and_water,alpha_delta,0.815
sector_production_and_supply_of_electricity_heat_gas_and_water,alpha_gamma,0.737
sector_production_and_supply_of_electricity_heat_gas_and_water,beta_delta,0.874
sector_production_and_supply_of_electricity_heat_gas_and_water,beta_gamma,0.799
sector_production_and_supply_of_electricity_heat_gas_and_water,delta_gamma,0.789
sector_construction,alpha_beta,0.571
sector_construction,alpha_delta,0.582
sector_construction,alpha_gamma,0.633
sector_construction,beta_delta,0.577
sector_construction,beta_gamma,0.682
sector_construction,delta_gamma,0.654
sector_wholesale_and_retail_trade,alpha_beta,0.826
sector_wholesale_and_retail_trade,alpha_delta,0.812
sector_wholesale_and_retail_trade,alpha_gamma,0.799
sector_wholesale_and_retail_trade,beta_delta,0.84
sector_wholesale_and_retail_trade,beta_gamma,0.835
sector_wholesale_and_retail_trade,delta_gamma,0.815
sector_transportation_storage_and_postal_services,alpha_beta,0.895
sector_transportation_storage_and_postal_services,alpha_delta,0.896
sector_transportation_storage_and_postal_services,alpha_gamma,0.888
sector_transportation_storage_and_postal_services,beta_delta,0.891
sector_transportation_storage_and_postal_services,beta_gamma,0.886
sector_transportation_storage_and_postal_services,delta_gamma,0.872
sector_accommodation_and_catering,alpha_beta,0.812
sector_accommodation_and_catering,alpha_delta,0.807
sector_accommodation_and_catering,alpha_gamma,0.798
sector_accommodation_and_catering,beta_delta,0.798
sector_accommodation_and_catering,beta_gamma,0.807
sector_accommodation_and_catering,delta_gamma,0.811
sector_information_transmission_software_and_it_services,alpha_beta,0.88
sector_information_transmission_software_and_it_services,alpha_delta,0.87
sector_information_transmission_software_and_it_services,alpha_gamma,0.882
sector_information_transmission_software_and_it_services,beta_delta,0.87
sector_information_transmission_software_and_it_services,beta_gamma,0.898
sector_information_transmission_software_and_it_services,delta_gamma,0.867
sector_financial_intermediation,alpha_beta,0.875
sector_financial_intermediation,alpha_delta,0.875
sector_financial_intermediation,alpha_gamma,0.896
sector_financial_intermediation,beta_delta,0.902
sector_financial_intermediation,beta_gamma,0.893
sector_financial_intermediation,delta_gamma,0.879
sector_real_estate,alpha_beta,0.741
sector_real_estate,alpha_delta,0.711
sector_real_estate,alpha_gamma,0.667
sector_real_estate,beta_delta,0.674
sector_real_estate,beta_gamma,0.704
sector_real_estate,delta_gamma,0.708
sector_leasing_and_business_services,alpha_beta,0.749
sector_leasing_and_business_services,alpha_delta,0.665
sector_leasing_and_business_services,alpha_gamma,0.714
sector_leasing_and_business_services,beta_delta,0.717
sector_leasing_and_business_services,beta_gamma,0.723
sector_leasing_and_business_services,delta_gamma,0.661
sector_scientific_research_and_technical_services,alpha_beta,0.631
sector_scientific_research_and_technical_services,alpha_delta,0.69
sector_scientific_research_and_technical_services,alpha_gamma,0.648
sector_scientific_research_and_technical_services,beta_delta,0.617
sector_scientific_research_and_technical_services,beta_gamma,0.643
sector_scientific_research_and_technical_services,delta_gamma,0.613
sector_water_conservancy_environment_and_public_facilities_management,alpha_beta,0.644
sector_water_conservancy_environment_and_public_facilities_management,alpha_delta,0.683
sector_water_conservancy_environment_and_public_facilities_management,alpha_gamma,0.637
sector_water_conservancy_environment_and_public_facilities_management,beta_delta,0.666
sector_water_conservancy_environment_and_public_facilities_management,beta_gamma,0.655
sector_water_conservancy_environment_and_public_facilities_management,delta_gamma,0.643
sector_resident_services_repair_and_other_services,alpha_beta,0.689
sector_resident_services_repair_and_other_services,alpha_delta,0.74
sector_resident_services_repair_and_other_services,alpha_gamma,0.682
sector_resident_services_repair_and_other_services,beta_delta,0.71
sector_resident_services_repair_and_other_services,beta_gamma,0.718
sector_resident_services_repair_and_other_services,delta_gamma,0.71
sector_education,alpha_beta,0.865
sector_education,alpha_delta,0.879
sector_education,alpha_gamma,0.873
sector_education,beta_delta,0.867
sector_education,beta_gamma,0.876
sector_education,delta_gamma,0.862
sector_health_and_social_work,alpha_beta,0.893
sector_health_and_social_work,alpha_delta,0.896
sector_health_and_social_work,alpha_gamma,0.897
sector_health_and_social_work,beta_delta,0.905
sector_health_and_social_work,beta_gamma,0.903
sector_health_and_social_work,delta_gamma,0.888
sector_culture_sports_and_entertainment,alpha_beta,0.807
sector_culture_sports_and_entertainment,alpha_delta,0.837
sector_culture_sports_and_entertainment,alpha_gamma,0.804
sector_culture_sports_and_entertainment,beta_delta,0.796
sector_culture_sports_and_entertainment,beta_gamma,0.788
sector_culture_sports_and_entertainment,delta_gamma,0.811
sector_public_administration_social_security_and_social_organizations,alpha_beta,0.803
sector_public_administration_social_security_and_social_organizations,alpha_delta,0.792
sector_public_administration_social_security_and_social_organizations,alpha_gamma,0.827
sector_public_administration_social_security_and_social_organizations,beta_delta,0.805
sector_public_administration_social_security_and_social_organizations,beta_gamma,0.818
sector_public_administration_social_security_and_social_organizations,delta_gamma,0.803
sector_international_organizations,alpha_beta,0.399
sector_international_organizations,alpha_delta,0.199
sector_international_organizations,alpha_gamma,0.444
sector_international_organizations,beta_delta,0.499
sector_international_organizations,beta_gamma,-0.001
sector_international_organizations,delta_gamma,0.285
solove_information_collection,alpha_beta,0.886
solove_information_collection,alpha_delta,0.871
solove_information_collection,alpha_gamma,0.883
solove_information_collection,beta_delta,0.867
solove_information_collection,beta_gamma,0.876
solove_information_collection,delta_gamma,0.867
solove_information_processing,alpha_beta,0.9
solove_information_processing,alpha_delta,0.891
solove_information_processing,alpha_gamma,0.912
solove_information_processing,beta_delta,0.894
solove_information_processing,beta_gamma,0.894
solove_information_processing,delta_gamma,0.893
solove_information_dissemination,alpha_beta,0.826
solove_information_dissemination,alpha_delta,0.807
solove_information_dissemination,alpha_gamma,0.835
solove_information_dissemination,beta_delta,0.792
solove_information_dissemination,beta_gamma,0.821
solove_information_dissemination,delta_gamma,0.81
solove_invasion,alpha_beta,0.721
solove_invasion,alpha_delta,0.675
solove_invasion,alpha_gamma,0.707
solove_invasion,beta_delta,0.789
solove_invasion,beta_gamma,0.766
solove_invasion,delta_gamma,0.695
